Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-June-2019,2249,2267,2219.5,2258.45,2238.97187736457,71366,4671,159786467,18021,25.25,47.5,9.45
11-June-2019,2237.9,2263,2233,2252.85,2251.4331717594,121513,7323,273578399,44040,36.24,30,14.95
10-June-2019,2194.9,2234.95,2189.25,2231.1,2220.0181185925,94323,6132,209398769,38369,40.68,45.7,36.2
7-June-2019,2177,2189,2145.2,2178.95,2164.36309219217,84031,3675,181873595,22599,26.89,43.8,1.95
6-June-2019,2199,2199,2151.45,2167.4,2169.00854822964,125991,4297,273275556,47591,37.77,47.55,-31.6
4-June-2019,2226,2226,2175,2182.45,2195.54999009384,111042,6411,243798262,28743,25.88,51,-43.55
3-June-2019,2207.8,2248,2186,2240.35,2224.255803683,292099,6946,649702896,182472,62.47,62,32.55
31-May-2019,2159.95,2205,2155,2196.85,2183.70815282083,165501,9375,361405883,61380,37.09,50,36.9
30-May-2019,2120,2153.4,2116.4,2145.4,2141.91307984302,170973,8241,366209305,71407,41.76,37,25.4
29-May-2019,2071,2121.75,2071,2105.25,2109.97466489615,199565,7348,421077094,91461,45.83,50.75,34.25
28-May-2019,2060,2097.45,2047.25,2075,2077.85712065848,212368,7995,441270361,49071,23.11,50.2,15
27-May-2019,2060,2067.75,2040.4,2053.8,2053.63274939589,222227,4334,456372645,147531,66.39,27.35,-6.2
24-May-2019,2074,2074,2034,2049.65,2052.20472088383,102735,5345,210833252,26443,25.74,40,-24.35
23-May-2019,2100,2115.1,2049,2053.75,2070.87616080558,167233,8725,346318833,71217,42.59,66.1,-46.25
22-May-2019,2114,2121.6,2076.7,2082.75,2091.54435609221,122238,7052,255666199,46714,38.22,44.9,-31.25
21-May-2019,2145,2149.95,2101.6,2109.2,2120.61298337189,87743,4177,186068945,35243,40.17,48.35,-35.8
20-May-2019,2126,2145,2050.25,2139.3,2114.68001307031,131596,6546,278283431,25508,19.38,94.75,13.3
17-May-2019,2120.6,2134.95,2088.95,2096.35,2105.77148569703,96029,3882,202215130,29385,30.6,46,-24.25
16-May-2019,2096,2123.4,2078.05,2109.45,2110.69877397783,85235,3468,179905410,27415,32.16,45.35,13.45
15-May-2019,2105,2125.55,2084.6,2094.5,2102.51304758724,122743,4987,258068759,46748,38.09,40.95,-10.5
14-May-2019,2137.5,2158.2,2074.5,2094.35,2101.13264736009,107390,6246,225640635,28696,26.72,83.7,-43.15
13-May-2019,2140,2167,2122.85,2131.1,2137.06473540353,154027,5231,329165670,69558,45.16,44.15,-8.9
10-May-2019,2174.35,2193.6,2125,2135.55,2157.3763345027,105470,4688,227538482,26259,24.9,68.6,-38.8
9-May-2019,2145,2182,2138,2168.7,2169.78583652921,80051,4070,173693526,24870,31.07,44,23.7
